time,sat,sensor,channel,ndata,npred,pred_id,param0,param,predmean,predxcov_1,predxcov_2,predxcov_3,predxcov_4,predxcov_5,predxcov_6
20210314_090000,5,3,9,137,5,0,-0.2904,-0.2873,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,5,3,8,137,5,10,-0.1128,-0.113,-0.1608,0.0,0.03609,0.3525,0.04312,0.2396,
20210314_090000,5,3,8,137,5,8,-0.1062,-0.106,-0.1425,0.0,0.06494,0.62,0.04995,0.3525,
20210314_090000,5,3,8,137,5,1,0.0774,0.0822,-1.128,0.0,0.0333,0.06494,0.0679,0.03609,
20210314_090000,5,15,3,281,5,9,-0.02629,-0.02225,-0.2147,0.0,0.111,0.342,0.7791,0.4257,
20210314_090000,3,3,9,22,5,0,0.09672,0.09779,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,5,3,7,29,5,0,-0.4432,-0.445,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,8,22,5,9,-0.03333,-0.03388,-0.2069,0.0,-0.03733,0.1735,0.3422,0.223,
20210314_090000,209,3,8,39,5,10,-0.1455,-0.1463,-0.1635,0.0,0.03493,0.3447,0.04261,0.2325,
20210314_090000,209,3,8,39,5,9,-0.04486,-0.04503,-0.4663,0.0,0.06708,0.04931,0.3757,0.04261,
20210314_090000,209,3,8,39,5,8,-0.04939,-0.05071,-0.1496,0.0,0.06531,0.6126,0.04931,0.3447,
20210314_090000,209,3,8,39,5,1,-0.02451,-0.02382,-1.135,0.0,0.03245,0.06531,0.06708,0.03493,
20210314_090000,209,3,8,39,5,0,-0.1304,-0.131,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,209,3,7,16,5,10,-0.01397,-0.0135,-0.1635,0.0,0.03493,0.3447,0.04261,0.2325,
20210314_090000,209,3,7,16,5,9,0.2851,0.2846,-0.4663,0.0,0.06708,0.04931,0.3757,0.04261,
20210314_090000,209,3,7,16,5,1,-0.04538,-0.0448,-1.135,0.0,0.03245,0.06531,0.06708,0.03493,
20210314_090000,209,3,7,16,5,0,-0.1759,-0.1765,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,209,3,6,15,5,10,-0.01282,-0.01253,-0.1635,0.0,0.03493,0.3447,0.04261,0.2325,
20210314_090000,209,3,6,15,5,9,0.06564,0.06523,-0.4663,0.0,0.06708,0.04931,0.3757,0.04261,
20210314_090000,209,3,6,15,5,8,-0.09536,-0.09504,-0.1496,0.0,0.06531,0.6126,0.04931,0.3447,
20210314_090000,209,3,6,15,5,1,0.02323,0.02329,-1.135,0.0,0.03245,0.06531,0.06708,0.03493,
20210314_090000,209,3,6,15,5,0,-0.5942,-0.5944,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,8,22,5,10,0.01703,0.01676,0.2544,0.0,-0.02389,0.1109,0.223,0.1477,
20210314_090000,209,3,7,16,5,8,-0.06777,-0.06717,-0.1496,0.0,0.06531,0.6126,0.04931,0.3447,
20210314_090000,3,3,8,22,5,8,0.06423,0.06428,0.6794,0.0,-0.01929,0.08993,0.1735,0.1109,
20210314_090000,3,3,8,22,5,1,-0.03666,-0.03693,-1.155,0.0,0.03461,-0.01929,-0.03733,-0.02389,
20210314_090000,3,3,8,22,5,0,0.2743,0.2747,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,7,9,5,10,-0.05845,-0.0584,0.2544,0.0,-0.02389,0.1109,0.223,0.1477,
20210314_090000,3,3,7,9,5,8,-0.1002,-0.1004,0.6794,0.0,-0.01929,0.08993,0.1735,0.1109,
20210314_090000,3,3,7,9,5,1,0.1246,0.1249,-1.155,0.0,0.03461,-0.01929,-0.03733,-0.02389,
20210314_090000,3,3,7,9,5,0,-0.1782,-0.1787,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,6,8,5,10,0.001016,0.001061,0.2544,0.0,-0.02389,0.1109,0.223,0.1477,
20210314_090000,3,3,6,8,5,9,-0.01823,-0.01834,-0.2069,0.0,-0.03733,0.1735,0.3422,0.223,
20210314_090000,3,3,6,8,5,8,0.01235,0.01248,0.6794,0.0,-0.01929,0.08993,0.1735,0.1109,
20210314_090000,3,3,6,8,5,1,0.01112,0.01094,-1.155,0.0,0.03461,-0.01929,-0.03733,-0.02389,
20210314_090000,3,3,6,8,5,0,0.03321,0.03346,1.0,0.0,0.0,0.0,0.0,0.0,
20210314_090000,3,3,7,9,5,9,-0.007516,-0.007085,-0.2069,0.0,-0.03733,0.1735,0.3422,0.223,
20210314_120000,523,73,12,63,6,10,-0.2539,-0.2557,0.2592,0.0,0.1013,-0.09489,0.5899,0.7478,0.7092
20210314_120000,523,73,14,63,6,0,0.5304,0.5332,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_120000,523,73,13,63,6,0,-0.3006,-0.2998,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_120000,523,73,13,63,6,1,0.1505,0.1495,-1.108,0.0,0.03273,-0.02452,0.08529,0.1055,0.1013
20210314_120000,523,73,13,63,6,2,-0.1449,-0.1439,0.6534,0.0,-0.02452,0.02479,-0.08477,-0.1009,-0.09489
20210314_120000,523,73,13,63,6,8,-0.1193,-0.1203,0.2594,0.0,0.08529,-0.08477,0.6616,0.5705,0.5899
20210314_120000,523,73,13,63,6,9,0.03903,0.03762,-0.1888,0.0,0.1055,-0.1009,0.5705,1.012,0.7478
20210314_120000,523,73,15,60,6,10,-0.2458,-0.2429,0.2592,0.0,0.1013,-0.09489,0.5899,0.7478,0.7092
20210314_120000,523,73,14,63,6,1,-0.3838,-0.3871,-1.108,0.0,0.03273,-0.02452,0.08529,0.1055,0.1013
20210314_120000,523,73,15,60,6,0,-0.8503,-0.8521,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20210314_120000,523,73,14,63,6,8,0.2018,0.1999,0.2594,0.0,0.08529,-0.08477,0.6616,0.5705,0.5899
20210314_120000,523,73,14,63,6,9,0.00936,0.007053,-0.1888,0.0,0.1055,-0.1009,0.5705,1.012,0.7478
20210314_120000,523,73,14,63,6,10,0.1884,0.1863,0.2592,0.0,0.1013,-0.09489,0.5899,0.7478,0.7092
20210314_120000,523,73,15,60,6,1,0.5452,0.5474,-1.108,0.0,0.03273,-0.02452,0.08529,0.1055,0.1013
20210314_120000,523,73,15,60,6,2,-0.515,-0.5169,0.6534,0.0,-0.02452,0.02479,-0.08477,-0.1009,-0.09489
20210314_120000,523,73,15,60,6,8,-0.298,-0.2956,0.2594,0.0,0.08529,-0.08477,0.6616,0.5705,0.5899
20210314_120000,523,73,15,60,6,9,0.08576,0.08981,-0.1888,0.0,0.1055,-0.1009,0.5705,1.012,0.7478
20210314_120000,523,73,12,63,6,9,0.01338,0.01219,-0.1888,0.0,0.1055,-0.1009,0.5705,1.012,0.7478
20210314_120000,523,73,14,63,6,2,0.3325,0.3354,0.6534,0.0,-0.02452,0.02479,-0.08477,-0.1009,-0.09489
20210314_120000,523,73,12,63,6,8,-0.2653,-0.2664,0.2594,0.0,0.08529,-0.08477,0.6616,0.5705,0.5899
20210314_120000,523,73,13,63,6,10,-0.1041,-0.1057,0.2592,0.0,0.1013,-0.09489,0.5899,0.7478,0.7092
20210314_120000,523,73,12,63,6,1,0.4407,0.4463,-1.108,0.0,0.03273,-0.02452,0.08529,0.1055,0.1013
20210314_120000,523,73,12,63,6,2,-0.3939,-0.3984,0.6534,0.0,-0.02452,0.02479,-0.08477,-0.1009,-0.09489
20210314_120000,523,73,4,67,4,0,-1.283,-1.302,1.0,0.0,0.0,0.0,0.0,,
20210314_120000,523,73,4,67,4,8,-0.4226,-0.4169,0.2594,0.0,0.6616,0.5705,0.5899,,
20210314_120000,523,73,4,67,4,10,-0.3768,-0.3703,0.2592,0.0,0.5899,0.7478,0.7092,,
20210314_120000,523,73,5,67,4,0,-0.07657,-0.07362,1.0,0.0,0.0,0.0,0.0,,
20210314_120000,523,73,5,67,4,8,-0.009745,-0.00832,0.2594,0.0,0.6616,0.5705,0.5899,,
20210314_120000,523,73,5,67,4,9,0.02707,0.02527,-0.1888,0.0,0.5705,1.012,0.7478,,
20210314_120000,523,73,5,67,4,10,0.0004672,0.0008508,0.2592,0.0,0.5899,0.7478,0.7092,,
